Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price
10/17/2019 15:10,10/17/2019 16:54,GBPUSD,Buy,0.05,1.28066,1.28335
10/17/2019 15:41,10/17/2019 16:54,GBPUSD,Buy,0.05,1.27849,1.28341
10/17/2019 15:00,10/17/2019 15:24,GBPUSD,Buy,0.05,1.2849,1.27924
10/17/2019 15:11,10/17/2019 15:24,GBPUSD,Buy,0.05,1.27879,1.27927
10/17/2019 15:07,10/17/2019 15:24,GBPUSD,Buy,0.05,1.282,1.27938
10/17/2019 15:17,10/17/2019 15:24,GBPUSD,Buy,0.05,1.2771,1.27946
10/17/2019 15:17,10/17/2019 15:24,GBPUSD,Buy,0.05,1.27617,1.27955
10/17/2019 15:17,10/17/2019 15:24,GBPUSD,Buy,0.05,1.2768,1.27954
10/17/2019 15:17,10/17/2019 15:24,GBPUSD,Buy,0.05,1.27628,1.27955
10/17/2019 13:52,10/17/2019 13:59,GBPUSD,Buy,0.05,1.28773,1.28826
10/17/2019 10:18,10/17/2019 12:22,GBPUSD,Buy,0.05,1.27855,1.28159
10/16/2019 21:09,,,Withdrawal,0.01,0,0
10/16/2019 20:42,10/16/2019 20:43,GBPUSD,Sell,0.05,1.28676,1.28338
10/16/2019 18:33,10/16/2019 20:43,GBPUSD,Sell,0.05,1.28376,1.28276
10/16/2019 19:33,10/16/2019 20:43,GBPUSD,Sell,0.05,1.28517,1.28417
10/16/2019 19:46,10/16/2019 19:52,GBPUSD,Sell,0.05,1.28593,1.28507
10/16/2019 19:47,10/16/2019 19:52,GBPUSD,Sell,0.05,1.28676,1.28513
10/16/2019 18:49,10/16/2019 18:52,GBPUSD,Sell,0.05,1.28676,1.28509
10/16/2019 15:37,10/16/2019 16:48,GBPUSD,Buy,0.05,1.27846,1.28248
10/16/2019 15:31,10/16/2019 16:48,GBPUSD,Buy,0.05,1.28048,1.28248
10/16/2019 15:24,10/16/2019 15:25,GBPUSD,Buy,0.05,1.28128,1.28328
10/16/2019 11:28,10/16/2019 12:56,GBPUSD,Buy,0.05,1.27319,1.27519
10/16/2019 12:02,10/16/2019 12:11,GBPUSD,Buy,0.05,1.267,1.27084
10/15/2019 17:29,10/15/2019 17:48,GBPUSD,Buy,0.05,1.273,1.27653
10/15/2019 17:27,10/15/2019 17:48,GBPUSD,Buy,0.05,1.27553,1.27653
10/15/2019 13:53,,,Withdrawal,0.01,0,0
10/15/2019 09:52,10/15/2019 13:51,GBPUSD,Buy,0.05,1.26682,1.26691
10/15/2019 12:20,10/15/2019 13:28,GBPUSD,Buy,0.05,1.2616,1.26572
10/15/2019 12:20,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26159,1.26585
10/15/2019 12:20,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26161,1.26578
10/15/2019 12:20,10/15/2019 13:28,GBPUSD,Buy,0.05,1.2616,1.26592
10/15/2019 12:24,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26254,1.26616
10/15/2019 12:24,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26259,1.26615
10/15/2019 12:24,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26259,1.26626
10/15/2019 12:20,10/15/2019 13:28,GBPUSD,Buy,0.05,1.2616,1.26626
10/15/2019 12:24,10/15/2019 13:28,GBPUSD,Buy,0.05,1.2626,1.2662
10/15/2019 12:24,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26259,1.26621
10/15/2019 12:17,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26381,1.26566
10/15/2019 12:17,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26381,1.26566
10/15/2019 12:17,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26381,1.26566
10/15/2019 12:17,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26381,1.26566
10/15/2019 12:17,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26382,1.26566
10/15/2019 10:23,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26385,1.26566
10/15/2019 12:17,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26408,1.26566
10/15/2019 12:17,10/15/2019 13:28,GBPUSD,Buy,0.05,1.26418,1.26566
